mu,rho,h,cash,lower,upper,gap,beta,floor,moment_residual
0.1,0.05,1.0,0.1,0.09,0.09000000000100011,1.0001166561579566e-12,0.08999999999999998,0.033541019662496854,1.1102230246251565e-16
0.1,0.05,1.0,0.2,0.08000000000000002,0.08000000000100012,1.0001027783701488e-12,0.07999999999999999,0.01020797289396147,0.0
0.1,0.05,1.0,0.3,0.07,0.07000000000100001,1.0000056338554941e-12,0.06999999999999998,0.005475115548644938,0.0
0.1,0.05,0.5,0.1,0.08145000000000002,0.08145000000100035,1.0003248229750739e-12,0.08144999999999998,0.033541019662496854,1.1102230246251565e-16
0.1,0.05,0.5,0.2,0.06290000000000001,0.06290000000100045,1.0004358452775364e-12,0.06289999999999998,0.01020797289396147,0.0
0.1,0.05,0.5,0.3,0.044350000000000014,0.04435000000100002,1.0000056338554941e-12,0.044349999999999994,0.005475115548644938,0.0
0.1,0.05,0.2,0.1,0.06254551074375002,0.06256484101471758,1.9330270967565788e-05,0.06209164374647089,0.033541019662496854,1.734723475976807e-18
0.1,0.05,0.2,0.2,0.025091021487500007,0.02512968202843514,3.866054093513288e-05,0.024183287492941824,0.01020797289396147,1.734723475976807e-18
0.1,0.05,0.2,0.3,0.014356409762500006,0.01436105476239995,4.644999899943922e-06,0.014230884584980227,0.005475115548644938,1.734723475976807e-18
0.1,0.05,0.1,0.1,0.04543218358647493,0.045565607386708305,0.0001334238002333732,0.042434812557060275,0.033541019662496854,1.734723475976807e-18
0.1,0.05,0.1,0.2,0.01613645496639791,0.016175689901987374,3.9234935589462644e-05,0.015760867971750615,0.01020797289396147,0.0
0.1,0.05,0.1,0.3,0.0066099973399621655,0.006704054647274301,9.405730731213563e-05,0.005147908218794467,0.005475115548644938,1.1102230246251565e-16
0.1,0.05,0.05,0.1,0.03913773032253087,0.039304902623740014,0.00016717230120914112,0.03595706585852138,0.033541019662496854,1.6653345369377348e-15
0.1,0.05,0.05,0.2,0.011818827088665782,0.011959501610745774,0.00014067452207999244,0.010455301653758962,0.01020797289396147,1.1102230246251565e-16
0.1,0.05,0.05,0.3,0.005577437345764106,0.005750944633968736,0.00017350728820463013,0.002506315102899432,0.005475115548644938,1.1102230246251565e-16
0.1,0.05,0.02,0.1,0.0347149055422031,0.035055999948962364,0.0003410944067592653,0.03072481032002916,0.033541019662496854,0.0
0.1,0.05,0.02,0.2,0.010312660596428826,0.010617659950604024,0.0003049993541751981,0.006881567371667858,0.01020797289396147,1.1102230246251565e-16
0.1,0.05,0.02,0.3,0.005475789295951133,0.005672113223837247,0.00019632392788611341,0.0011713489622875344,0.005475115548644938,0.0
