DEPINS,BKCLASS,SCMTGBK,REPDTE,DEPDOM,ASSET,DEP,NAME,SC,DEPUNINS,SCUST,CHBAL,CERT,LNLSNET,BRO,ID,INSFDIC,INSDIF,cash_ratio,treasury_ratio,size_bin
88208279,SM,21233744.0,20241231,165388223,207556263,165412981,MANUFACTURERS&TRADERS TR CO,33197561,79739536,8931833,20720658,588,133453813,10814829.0,588_20241231,1,1,0.12528496663272087,0.17929022068276287,>=100bn
1752191,SM,365934.0,20241231,2400921,2775430,2400921,CHEMUNG CANAL TRUST CO,534896,652303,56907,47035,597,2050031,92159.0,597_20241231,1,1,0.019590398851107554,0.043292553149395584,1-10bn
3988991,NM,699615.0,20241231,6510624,8069333,6510624,TOMPKINS COMMUNITY BANK,1544763,2524571,157546,134243,609,5963426,0.0,609_20241231,1,1,0.02061906815690785,0.04481736312832687,1-10bn
184739,SM,2722.0,20241231,245091,277527,245091,BANK OF MILLBROOK,105746,60483,12840,31951,618,121579,0.0,618_20241231,1,1,0.1303638240490267,0.1827525286526229,<1bn
3527191,NM,969573.0,20241231,7232975,8259701,7232975,AMALGAMATED BANK,3215263,3707817,200,63459,622,4650431,548441.0,622_20241231,1,1,0.008773568275847767,0.00880121941524753,1-10bn
1069000,SM,0.0,20241231,27421000,39780000,27421000,DEUTSCHE BANK TR CO AMERICAS,384000,26690000,384000,15633000,623,15134000,663000.0,623_20241231,1,1,0.5701104992523978,0.5841143649028118,10-100bn
938629000,N,215438000.0,20241231,2042646000,3459261000,2516998000,JPMORGAN CHASE BANK NA,681717000,1151030000,343123000,471398000,628,1335559000,63085000.0,628_20241231,1,1,0.2307781181859216,0.3987577876930217,>=100bn
16650000,SM,54412000.0,20241231,194168000,335955000,291378000,BANK OF NEW YORK MELLON,136383000,189813000,25137000,100027000,639,36812000,5437000.0,639_20241231,1,1,0.5151569774628157,0.644617032672737,>=100bn
3443656,SM,956391.0,20241231,5155241,6080731,5155241,FIVE STAR BANK,1027106,1927716,0,80936,659,4433456,80852.0,659_20241231,1,1,0.015699750991272764,0.015699750991272764,1-10bn
870575,SM,24755.0,20241231,1520026,1714346,1520026,ADIRONDACK TRUST CO,412783,661708,340523,197859,660,974653,0.0,660_20241231,1,1,0.13016816817607066,0.35419262565245596,1-10bn
941597,NM,120753.0,20241231,1293267,1592800,1293267,JOURNEY BANK,321822,353199,0,17365,686,1117770,0.0,686_20241231,1,1,0.01342723505664337,0.01342723505664337,1-10bn
1177540,NM,272580.0,20241231,1861387,2318752,1861387,WAYNE BANK,397846,698357,19597,72338,698,1693869,20000.0,698_20241231,1,1,0.03886241818600861,0.049390588845844526,1-10bn
3388592,SM,517625.0,20241231,4639692,5441746,4639692,ORRSTOWN BANK,829517,1253315,18063,248874,713,3889139,8101.0,713_20241231,1,1,0.053640198530419694,0.05753334488582432,1-10bn
165858,SM,318.0,20241231,235830,256282,235830,APPLE CREEK BANKING CO,26465,70049,0,13465,737,205890,1.0,737_20241231,1,1,0.057096213374040625,0.057096213374040625,<1bn
493326,SM,108872.0,20241231,678651,757664,678651,MINSTER BANK,232280,186454,14232,115652,763,373424,0.0,763_20241231,1,1,0.1704145429683298,0.19138555752514916,<1bn
359954,NM,21203.0,20241231,418097,457599,418097,FARMERS BANK&SAVINGS CO,116827,58570,25515,16455,769,293058,0.0,769_20241231,1,1,0.039356895648617427,0.10038340385125939,<1bn
9932585,NM,1858026.0,20241231,14456604,18649074,14456604,WESBANCO BANK INC,3401368,4619799,146114,566532,803,12539541,200565.0,803_20241231,1,1,0.03918845670808995,0.04929553303113235,10-100bn
367005,SM,77519.0,20241231,472541,552521,472541,CITIZENS BANK&TRUST CO,224649,106905,60569,6842,823,266442,0.0,823_20241231,1,1,0.014479166887106092,0.1426564044178177,<1bn
232049,SM,7599.0,20241231,261865,351232,261865,BANK OF ROMNEY,53209,30007,2265,9132,845,261028,14423.0,845_20241231,1,1,0.03487293070857121,0.04352242567735284,<1bn
58313,SM,5597.0,20241231,67875,75050,67875,PLEASANTS COUNTY BANK,18173,9666,1372,8657,847,39586,0.0,847_20241231,1,1,0.12754327808471455,0.14775690607734807,<1bn
76085,NM,18364.0,20241231,113432,125965,113432,MERCHANTS&FARMERS BK GREENE,30224,42415,0,7875,855,71496,9372.0,855_20241231,1,1,0.06942485365681642,0.06942485365681642,<1bn
233734,NM,13750.0,20241231,320215,376950,320215,STATE BANK&TRUST,154861,87386,0,11052,861,186964,37617.0,861_20241231,1,1,0.03451431069750012,0.03451431069750012,<1bn
173675,NM,0.0,20241231,220053,268536,220053,STATE BANK OF COCHRAN,40067,47219,6923,65587,872,152609,0.0,872_20241231,1,1,0.2980509240955588,0.3295115267685512,<1bn
25823053,SM,7796710.0,20241231,52005192,60119623,52005192,SYNOVUS BANK,10147507,26402870,1212742,2919033,873,42212294,4875230.0,873_20241231,1,1,0.05612964567076303,0.07944927883354416,10-100bn
96209,NM,14918.0,20241231,130563,159541,130563,BANK OF DAWSON,32904,35556,0,10489,876,94817,3500.0,876_20241231,1,1,0.08033669569479868,0.08033669569479868,<1bn
125584,NM,7811.0,20241231,166497,195454,166497,MAGNOLIA STATE BANK,62909,41464,20405,26980,877,101113,0.0,877_20241231,1,1,0.16204496177108296,0.28459972251752286,<1bn
122105,NM,5521.0,20241231,163464,184656,163464,FARMERS STATE BANK,39631,41430,0,59041,879,80124,0.0,879_20241231,1,1,0.36118656095531737,0.36118656095531737,<1bn
158941,NM,1835.0,20241231,206498,228651,206498,GEORGIA FIRST BANK,4547,48479,2212,40855,889,171805,0.0,889_20241231,1,1,0.19784695251285728,0.20855892066751253,<1bn
511099,NM,13460.0,20241231,680332,786117,680332,CITIZENS BANK,310872,174418,0,21829,893,429361,0.0,893_20241231,1,1,0.03208580516571321,0.03208580516571321,<1bn
175018,NM,32230.0,20241231,222581,256788,222581,BANK OF FOREST,82245,49527,0,10342,898,149582,0.0,898_20241231,1,1,0.046463983897996684,0.046463983897996684,<1bn
